CCAA;Nombre CCAA;Cod_Provincia_INE;Cod_Provincia_Catastro;Nombre Provincia;Cod_Municipio_Ine_Corto;Cod_Municipio_Ine;Cod_Municipio_Catastro;Nombre Municipio_Ine;Nombre Municipio_Catastro;;;;;;;;
11;GALICIA;32;32;OURENSE;3;0034;4;A ARNOIA;A ARNOIA;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);7;0079;7;A BAÑA;A BAÑA;;;;;;;;
11;GALICIA;32;32;OURENSE;14;0147;15;A BOLA;A BOLA;;;;;;;;
11;GALICIA;36;36;PONTEVEDRA;9;0097;9;A CAÑIZA;A CAÑIZA;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);18;0183;18;A CAPELA;A CAPELA;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);30;0308;900;A CORUÑA;A CORUÑA;;;;;;;;
11;GALICIA;36;36;PONTEVEDRA;17;0176;17;A ESTRADA;A ESTRADA;;;;;;;;
11;GALICIA;27;27;LUGO;18;0180;18;A FONSAGRADA;A FONSAGRADA;;;;;;;;
11;GALICIA;36;36;PONTEVEDRA;23;0237;23;A GUARDA;A GUARDA;;;;;;;;
11;GALICIA;32;32;OURENSE;34;0343;35;A GUDIÑA;A GUDIÑA;;;;;;;;
11;GALICIA;36;36;PONTEVEDRA;25;0255;25;A LAMA;A LAMA;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);41;0413;42;A LARACHA;A LARACHA;;;;;;;;
11;GALICIA;32;32;OURENSE;47;0473;48;A MERCA;A MERCA;;;;;;;;
11;GALICIA;32;32;OURENSE;48;0489;49;A MEZQUITA;A MEZQUITA;;;;;;;;
11;GALICIA;27;27;LUGO;44;0446;44;A PASTORIZA;A PASTORIZA;;;;;;;;
11;GALICIA;32;32;OURENSE;59;0599;60;A PEROXA;A PEROXA;;;;;;;;
11;GALICIA;32;32;OURENSE;63;0631;64;A POBRA DE TRIVES;A POBRA DE TRIVES;;;;;;;;
11;GALICIA;27;27;LUGO;47;0478;47;A POBRA DO BROLLON;A POBRA DO BROLLON;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);67;0676;68;A POBRA DO CARAMIÑAL;A POBRA DO CARAMIÑAL;;;;;;;;
11;GALICIA;27;27;LUGO;48;0484;48;A PONTENOVA;A PONTENOVA;;;;;;;;
11;GALICIA;32;32;OURENSE;72;0723;73;A RUA;A RUA;;;;;;;;
11;GALICIA;32;32;OURENSE;80;0809;81;A TEIXEIRA;A TEIXEIRA;;;;;;;;
11;GALICIA;32;32;OURENSE;83;0837;84;A VEIGA;A VEIGA;;;;;;;;
2;ARAGÓN;44;44;TERUEL;1;0012;1;ABABUJ;ABABUJ;;;;;;;;
8;CASTILLA Y LEÓN;40;40;SEGOVIA;1;0019;1;ABADES;ABADES;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;1;0015;1;ABADIA;ABADIA;;;;;;;;
15;PAIS VASCO;48;48;BILBAO;1;0010;1;Abadiño;Abadiño;;;;;;;;
11;GALICIA;27;27;LUGO;1;0018;1;ABADIN;ABADIN;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;1;0018;1;ABÁIGAR;ABÁIGAR;;;;;;;;
8;CASTILLA Y LEÓN;9;9;BURGOS;1;0011;1;ABAJAS;ABAJAS;;;;;;;;
16;LA RIOJA;26;26;LA RIOJA;1;0012;1;ABALOS;ABALOS;;;;;;;;
15;PAIS VASCO;20;20;DONOSTIA-SAN SEBASTIÁN;1;0013;1;ABALTZISKETA;ABALTZISKETA;;;;;;;;
7;CASTILLA LA MANCHA;19;19;GUADALAJARA;1;0019;1;ABANADES;ABANADES;;;;;;;;
13;REGION DE MURCIA;30;30;MURCIA;1;0011;1;ABANILLA;ABANILLA;;;;;;;;
2;ARAGÓN;50;50;ZARAGOZA;1;0016;1;ABANTO;ABANTO;;;;;;;;
15;PAIS VASCO;48;48;BILBAO;2;0025;2;ABANTO Y CIÉRVANA-ABANTO ZIERBENA;ABANTO Y CIÉRVANA-ABANTO ZIERBENA;;;;;;;;
13;REGION DE MURCIA;30;30;MURCIA;2;0026;2;ABARAN;ABARAN;;;;;;;;
8;CASTILLA Y LEÓN;34;34;PALENCIA;1;0014;1;Abarca de Campos;Abarca de Campos;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;2;0023;2;ABÁRZUZA;ABÁRZUZA;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;3;0039;3;ABAURREGAINA/ABAURREA ALTA;ABAURREGAINA/ABAURREA ALTA;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;4;0044;4;ABAURREPEA/ABAURREA BAJA;ABAURREPEA/ABAURREA BAJA;;;;;;;;
11;GALICIA;15;15;CORUÑA (A);1;0011;1;ABEGONDO;ABEGONDO;;;;;;;;
8;CASTILLA Y LEÓN;42;42;SORIA;1;0011;2;ABEJAR;ABEJAR;;;;;;;;
2;ARAGÓN;44;44;TERUEL;2;0027;2;ABEJUELA;ABEJUELA;;;;;;;;
9;CATALUÑA;25;25;LLEIDA;1;0019;1;ABELLA DE LA CONCA;ABELLA DE LA CONCA;;;;;;;;
7;CASTILLA LA MANCHA;2;2;ALBACETE;1;0019;1;ABENGIBRE;ABENGIBRE;;;;;;;;
7;CASTILLA LA MANCHA;13;13;CIUDAD REAL;1;0013;1;ABENOJAR;ABENOJAR;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;5;0057;5;ABERIN;ABERIN;;;;;;;;
10;EXTREMADURA;10;10;CÁCERES;2;0020;2;ABERTURA;ABERTURA;;;;;;;;
8;CASTILLA Y LEÓN;49;49;ZAMORA;2;0028;2;ABEZAMES;ABEZAMES;;;;;;;;
7;CASTILLA LA MANCHA;16;16;CUENCA;1;0014;1;ABIA DE LA OBISPALIA;ABIA DE LA OBISPALIA;;;;;;;;
8;CASTILLA Y LEÓN;34;34;PALENCIA;3;0035;3;ABIA DE LAS TORRES;ABIA DE LAS TORRES;;;;;;;;
2;ARAGÓN;22;22;HUESCA;1;0015;1;ABIEGO;ABIEGO;;;;;;;;
2;ARAGÓN;22;22;HUESCA;2;0020;2;ABIZANDA;ABIZANDA;;;;;;;;
1;ANDALUCIA;4;4;ALMERÍA;1;0010;1;ABLA;ABLA;;;;;;;;
7;CASTILLA LA MANCHA;19;19;GUADALAJARA;2;0024;2;ABLANQUE;ABLANQUE;;;;;;;;
14;COMUNIDAD FORAL DE NAVARRA;31;31;PAMPLONA <> IRUÑA;6;0060;6;ABLITAS;ABLITAS;;;;;;;;
9;CATALUÑA;8;8;BARCELONA;1;0018;1;ABRERA;ABRERA;;;;;;;;
1;ANDALUCIA;4;4;ALMERÍA;2;0025;2;ABRUCENA;ABRUCENA;;;;;;;;
8;CASTILLA Y LEÓN;37;37;SALAMANCA;1;0016;1;ABUSEJO;ABUSEJO;;;;;;;;
